"date","particulars","amount","client","bankname"
"2026-05-20","neft","261788.00","reutter innovative closure technologies (p) ltd","ubi"
"2026-05-20","tds","4513.60","reutter innovative closure technologies (p) ltd","ubi"
"2026-07-03","neft","107648.00","reutter innovative closure technologies (p) ltd","ubi"
"2026-07-03","tds","1856.00","reutter innovative closure technologies (p) ltd","ubi"
"2026-04-13","neft","53454.00","shreya industries - pnq","ubi"
"2026-04-13","neft","64192.00","shreya industries - pnq","ubi"
"2026-04-18","neft","53454.00","shreya industries - pnq","ubi"
"2026-04-18","neft","53454.00","shreya industries - pnq","ubi"
"2026-04-24","neft","52806.00","shreya industries - pnq","ubi"
"2026-04-24","neft","44604.00","shreya industries - pnq","ubi"
"2026-04-24","neft","4720.00","shreya industries - pnq","ubi"
"2026-05-06","neft","4720.00","shreya industries - pnq","ubi"
"2026-05-06","neft","72806.00","shreya industries - pnq","ubi"
"2026-05-06","neft","20000.00","shreya industries - pnq","ubi"
"2026-05-16","neft","61655.00","shreya industries - pnq","ubi"
"2026-05-16","neft","93869.00","shreya industries - pnq","ubi"
"2026-05-22","neft","117439.00","shreya industries - pnq","ubi"
"2026-05-30","neft","108707.00","shreya industries - pnq","ubi"
"2026-05-30","neft","20384.00","shreya industries - pnq","ubi"
"2026-06-06","neft","75638.00","shreya industries - pnq","ubi"
"2026-06-06","neft","61773.00","shreya industries - pnq","ubi"
"2026-06-12","neft","50000.00","shreya industries - pnq","ubi"
"2026-06-20","neft","62336.00","shreya industries - pnq","ubi"
"2026-06-27","neft","72806.00","shreya industries - pnq","ubi"
"2026-07-02","neft","61478.00","shreya industries - pnq","ubi"
"2026-07-18","neft","50150.00","shreya industries - pnq","ubi"
"2026-07-21","neft","125000.00","noka frieght carriers pvt ltd","bob"
